
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.68.104:54114   34.54.84.110:443       ESTABLISHED     6056
  TCP    192.168.68.104:54115   4.213.25.242:443       ESTABLISHED     14140
  TCP    192.168.68.104:54257   142.251.222.106:443    ESTABLISHED     12828
  TCP    192.168.68.104:54557   20.190.175.152:443     TIME_WAIT       0
  TCP    192.168.68.104:54584   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:54666   172.67.73.60:443       TIME_WAIT       0
  TCP    192.168.68.104:54673   8.8.8.8:443            TIME_WAIT       0
  TCP    192.168.68.104:54725   104.18.22.222:443      FIN_WAIT_1      23220
  TCP    192.168.68.104:54861   142.251.220.68:443     TIME_WAIT       0
  TCP    192.168.68.104:55063   172.64.155.209:443     CLOSE_WAIT      12084
  TCP    192.168.68.104:55094   150.171.28.11:443      TIME_WAIT       0
  TCP    192.168.68.104:55359   150.171.27.11:443      FIN_WAIT_1      23220
  TCP    192.168.68.104:55442   142.251.42.238:443     TIME_WAIT       0
  TCP    192.168.68.104:55559   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:55888   142.251.220.68:443     TIME_WAIT       0
  TCP    192.168.68.104:55932   8.8.8.8:443            ESTABLISHED     23220
  TCP    192.168.68.104:55988   142.251.220.68:443     ESTABLISHED     10840
  TCP    192.168.68.104:56002   8.8.4.4:443            ESTABLISHED     10840
  TCP    192.168.68.104:56201   40.126.35.134:443      FIN_WAIT_1      22984
  TCP    192.168.68.104:56325   34.160.81.0:443        TIME_WAIT       0
  TCP    192.168.68.104:56437   216.198.79.131:443     TIME_WAIT       0
  TCP    192.168.68.104:56547   8.8.4.4:443            TIME_WAIT       0
  TCP    192.168.68.104:56671   216.198.79.3:443       TIME_WAIT       0
  TCP    192.168.68.104:57319   184.26.54.85:443       FIN_WAIT_1      23220
  TCP    192.168.68.104:57320   13.89.178.27:443       ESTABLISHED     23220
  TCP    192.168.68.104:57442   34.160.81.0:443        TIME_WAIT       0
  TCP    192.168.68.104:57487   216.198.79.3:443       TIME_WAIT       0
  TCP    192.168.68.104:57587   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:57719   20.190.175.24:443      FIN_WAIT_1      23220
  TCP    192.168.68.104:57937   35.201.127.49:443      ESTABLISHED     12828
  TCP    192.168.68.104:58145   104.18.22.222:443      TIME_WAIT       0
  TCP    192.168.68.104:58148   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:58183   142.251.155.119:443    TIME_WAIT       0
  TCP    192.168.68.104:58308   8.8.8.8:443            ESTABLISHED     23220
  TCP    192.168.68.104:58450   107.167.96.30:443      TIME_WAIT       0
  TCP    192.168.68.104:58516   142.251.12.188:5228    ESTABLISHED     12828
  TCP    192.168.68.104:58564   52.34.172.70:443       ESTABLISHED     12828
